1478613425 INTERNAL *** MONITORD_STARTED ***
1478613423 INTERNAL *** DAGMAN_STARTED 3182.0 ***
1478613427 create_dir_example_workflow_0_local SUBMIT 3183.0 local - 1
1478613432 create_dir_example_workflow_0_local EXECUTE 3183.0 local - 1
1478613432 create_dir_example_workflow_0_local JOB_TERMINATED 3183.0 local - 1
1478613432 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478613432 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3183.0 local - 1
1478613437 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3183.0 local - 1
1478613437 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478613442 stage_in_local_local_0_0 SUBMIT 3184.0 local - 2
1478613442 stage_in_local_local_0_0 EXECUTE 3184.0 local - 2
1478613442 stage_in_remote_local_2_1 SUBMIT 3185.0 local - 3
1478613442 stage_in_local_local_6_0 SUBMIT 3186.0 local - 4
1478613442 stage_in_remote_local_5_1 SUBMIT 3187.0 local - 5
1478613442 stage_in_remote_local_5_0 SUBMIT 3188.0 local - 6
1478613448 stage_in_local_local_0_0 JOB_TERMINATED 3184.0 local - 2
1478613448 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478613448 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3184.0 local - 2
1478613448 stage_in_remote_local_5_0 EXECUTE 3188.0 local - 6
1478613448 stage_in_remote_local_2_1 EXECUTE 3185.0 local - 3
1478613448 stage_in_remote_local_5_1 EXECUTE 3187.0 local - 5
1478613448 stage_in_local_local_6_0 EXECUTE 3186.0 local - 4
1478613448 stage_in_remote_local_2_1 JOB_TERMINATED 3185.0 local - 3
1478613448 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1478613448 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3185.0 local - 3
1478613448 stage_in_local_local_6_0 JOB_TERMINATED 3186.0 local - 4
1478613448 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1478613448 stage_in_local_local_6_0 POST_SCRIPT_STARTED 3186.0 local - 4
1478613448 stage_in_local_local_2_0 SUBMIT 3189.0 local - 7
1478613448 stage_in_local_local_2_1 SUBMIT 3190.0 local - 8
1478613448 stage_in_remote_local_1_0 SUBMIT 3191.0 local - 9
1478613448 stage_in_local_local_3_1 SUBMIT 3192.0 local - 10
1478613448 stage_in_local_local_5_0 SUBMIT 3193.0 local - 11
1478613453 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3185.0 local - 3
1478613453 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1478613453 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3184.0 local - 2
1478613453 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478613453 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 3186.0 local - 4
1478613453 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1478613453 stage_in_remote_local_5_1 JOB_TERMINATED 3187.0 local - 5
1478613453 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1478613453 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 3187.0 local - 5
1478613453 stage_in_remote_local_5_0 JOB_TERMINATED 3188.0 local - 6
1478613453 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1478613453 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 3188.0 local - 6
1478613453 stage_in_local_local_2_1 EXECUTE 3190.0 local - 8
1478613453 stage_in_local_local_2_0 EXECUTE 3189.0 local - 7
1478613453 stage_in_local_local_3_1 EXECUTE 3192.0 local - 10
1478613453 stage_in_local_local_5_0 EXECUTE 3193.0 local - 11
1478613453 stage_in_remote_local_1_0 EXECUTE 3191.0 local - 9
1478613453 stage_in_local_local_2_1 JOB_TERMINATED 3190.0 local - 8
1478613453 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1478613453 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3190.0 local - 8
1478613453 stage_in_remote_local_1_0 JOB_TERMINATED 3191.0 local - 9
1478613453 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1478613453 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3191.0 local - 9
1478613453 stage_in_local_local_3_0 SUBMIT 3194.0 local - 12
1478613453 stage_in_local_local_5_1 SUBMIT 3195.0 local - 13
1478613453 stage_in_local_local_4_0 SUBMIT 3196.0 local - 14
1478613453 stage_in_local_local_7_0 SUBMIT 3197.0 local - 15
1478613453 stage_in_local_local_4_1 SUBMIT 3198.0 local - 16
1478613459 stage_in_local_local_3_1 JOB_TERMINATED 3192.0 local - 10
1478613459 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1478613459 stage_in_local_local_3_1 POST_SCRIPT_STARTED 3192.0 local - 10
1478613459 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 3187.0 local - 5
1478613459 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1478613459 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 3188.0 local - 6
1478613459 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 6
1478613459 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3191.0 local - 9
1478613459 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1478613459 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3190.0 local - 8
1478613459 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1478613459 stage_in_local_local_5_0 JOB_TERMINATED 3193.0 local - 11
1478613459 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 11
1478613459 stage_in_local_local_5_0 POST_SCRIPT_STARTED 3193.0 local - 11
1478613459 stage_in_local_local_3_0 EXECUTE 3194.0 local - 12
1478613459 stage_in_local_local_5_1 EXECUTE 3195.0 local - 13
1478613459 stage_in_local_local_7_0 EXECUTE 3197.0 local - 15
1478613459 stage_in_local_local_2_0 JOB_TERMINATED 3189.0 local - 7
1478613459 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 7
1478613459 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3189.0 local - 7
1478613459 stage_in_local_local_4_0 EXECUTE 3196.0 local - 14
1478613459 stage_in_local_local_4_1 EXECUTE 3198.0 local - 16
1478613459 stage_in_local_local_7_0 JOB_TERMINATED 3197.0 local - 15
1478613459 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 15
1478613459 stage_in_local_local_7_0 POST_SCRIPT_STARTED 3197.0 local - 15
1478613459 stage_in_local_local_1_0 SUBMIT 3199.0 local - 17
1478613459 stage_in_local_local_1_0 EXECUTE 3199.0 local - 17
1478613459 stage_in_remote_local_4_1 SUBMIT 3200.0 local - 18
1478613459 stage_in_remote_local_4_0 SUBMIT 3201.0 local - 19
1478613459 stage_in_remote_local_4_1 EXECUTE 3200.0 local - 18
1478613459 stage_in_remote_local_4_0 EXECUTE 3201.0 local - 19
