W-01 0.104 0.107 0.114 0.118 0.124
W-02 0.109 0.109 0.114 0.111 0.107
W-03 0.11 0.112 0.119 0.143 0.102
W-04 0.654 0.642 0.643 0.648 0.646
W-05 0.642 0.636 0.636 0.632 0.635
W-06 0.651 0.635 0.637 0.641 0.63
W-07_0 0.643 0.662 0.665 0.651 0.684
W-07_1 0.658 0.663 0.648 0.657 0.669
W-07_2 0.669 0.64 0.676 0.682 0.656
W-08_0 0.661 0.646 0.656 0.654 0.648
W-08_1 0.649 0.646 0.653 0.68 0.662
W-08_2 0.643 0.672 0.673 0.658 0.672
W-09_0 0.659 0.673 0.656 0.697 0.693
W-09_1 0.691 0.699 0.691 0.672 0.671
W-09_2 0.66 0.691 0.643 0.663 0.643
W-10_0 0.657 0.667 0.711 0.706 0.655
W-10_1 0.68 0.675 0.678 0.655 0.688
W-10_2 0.707 0.647 0.659 0.648 0.661
W-11_0 0.681 0.664 0.66 0.709 0.696
W-11_1 0.664 0.65 0.673 0.664 0.666
W-11_2 0.652 0.659 0.704 0.677 0.684
