W-01 181.561 181.385 182.151 182.061 181.869
W-02 182.203 182.5 188.934 182.083 182.647
W-03 181.311 180.212 181.239 179.779 183.612
W-04 42.69 42.208 0.644 42.176 42.73
W-05 42.163 42.173 42.668 42.172 42.204
W-06 42.17 42.692 42.674 42.164 43.191
W-07_0 44.232 44.069 42.188 42.704 43.217
W-07_1 43.691 42.696 42.695 43.215 43.22
W-07_2 43.223 42.72 43.207 43.2 43.729
W-08_0 43.22 42.715 43.732 42.705 42.69
W-08_1 44.698 44.22 43.694 41.72 43.725
W-08_2 44.211 44.227 42.286 44.735 44.225
W-09_0 14.186 15.168 14.663 15.209 14.68
W-09_1 15.678 18.162 15.659 14.67 15.157
W-09_2 16.159 14.65 14.67 15.176 15.162
W-10_0 1.278 15.183 1.191 15.858 15.277
W-10_1 0.637 15.278 1.308 0.652 16.331
W-10_2 1.278 1.285 0.664 1.293 1.257
W-11_0 1.148 1.143 23.176 15.801 1.138
W-11_1 16.287 22.193 22.164 15.295 1.154
W-11_2 15.807 15.784 23.158 22.686 22.697
