W-01 710.8476 708.393955756 713.301244244 1
W-02 714.1508 710.428864953 717.872735047 1
W-03 373.011466667 366.628976088 379.393957245 1
W-04 926.8938 920.161126744 933.626473256 2
W-05 936.4728 930.085458423 942.860141577 2
W-06 384.5396 380.991638756 388.087561244 2
W-07_0 916.8716 906.213357498 927.529842502 3
W-07_1 961.1294 948.487489098 973.771310902 4
W-07_2 938.1936 867.857525009 1008.52967499 5
W-08_0 374.771933333 372.967205681 376.576660985 3
W-08_1 366.417466667 350.281118083 382.553815251 4
W-08_2 355.609266667 352.243902884 358.974630449 5
W-09_0 869.7086 851.172335868 888.244864132 6
W-09_1 809.4392 806.222046496 812.656353504 7
W-09_2 869.6886 861.123370052 878.253829948 8
W-10_0 125.856666667 123.165839665 128.547493668 6
W-10_1 102.368133333 100.616759762 104.119506904 7
W-10_2 101.645088889 100.206476563 103.083701215 8
W-11_0 123.934622222 121.364868229 126.504376215 6
W-11_1 100.469711111 97.5657112596 103.373710963 7
W-11_2 101.678622222 97.5910871109 105.766157334 8
