W-01 186.663 184.82 186.116 188.477 187.163
W-02 499.61 504.059 516.093 499.805 500.556
W-03 502.759 490.874 499.589 496.498 506.195
W-04 536.891 545.739 543.362 542.594 543.136
W-05 554.245 563.31 549.073 559.788 550.997
W-06 560.347 550.242 540.81 542.564 553.904
W-07_0 550.948 542.51 552.231 541.059 536.01
W-07_1 544.281 552.326 542.173 539.881 538.161
W-07_2 545.118 551.336 546.11 543.464 545.31
W-08_0 533.315 534.033 543.454 552.977 540.801
W-08_1 552.87 539.438 543.958 543.746 542.733
W-08_2 545.484 542.896 606.619 539.92 541.303
W-09_0 563.767 577.89 559.839 555.685 573.144
W-09_1 546.736 551.082 544.196 561.194 537.453
W-09_2 557.32 560.288 571.702 566.52 564.038
W-10_0 544.437 560.174 574.345 564.818 542.412
W-10_1 575.723 566.231 539.628 542.961 555.303
W-10_2 554.78 540.917 564.196 544.419 544.671
W-11_0 541.875 553.346 562.239 565.587 572.348
W-11_1 538.085 533.292 548.229 542.495 548.153
W-11_2 533.46 547.646 545.075 541.087 536.475
