W-01 4560 4560 4620 4560 4620
W-02 4500 5340 4440 4560 4500
W-03 3900 3840 3720 4020 3720
W-04 3960 3900 3900 3960 3960
W-05 2775 2819 2767 2801 2861
W-06 2011 2033 1984 2013 2018
W-07_0 3061 3037 3007 3018 3057
W-07_1 3089 3081 3074 3092 3084
W-07_2 3029 3582 3027 3012 3027
W-08_0 2229 2245 2254 2227 2258
W-08_1 2210 2224 2235 2552 2243
W-08_2 2998 2965 3223 3134 2969
W-09_0 3549 3593 3522 3537 3660
W-09_1 3319 2971 3414 3332 2946
W-09_2 3536 3485 3517 3496 3501
W-10_0 1819 1837 1901 1920 1820
W-10_1 1781 1813 1720 1688 1875
W-10_2 2185 2119 2195 2067 2114
W-11_0 1711 1726 1748 1803 1828
W-11_1 1639 1622 1621 1662 1621
W-11_2 2007 1969 2001 1994 2015
