
# Job instance statistics per day:
#   the number of job instances run, total runtime sorted by day
# Invocation statistics per day:
#   the number of invocations , total runtime sorted by day
# Job instance statistics by host per day:
#   the number of job instance run, total runtime on each host sorted by day
# Invocation by host per day:
#   the number of invocations, total runtime on each host sorted by day

# Job instances statistics per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2017-01-25                    14                  12473.0             
2017-01-26                    28                  6360.0              

# Invocation statistics run per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2017-01-25                    27                  12533.318           
2017-01-26                    56                  6493.48             

# Job instances statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2017-01-25             ip-172-31-29-102.us-west-2.compute.internal2         12427.0             
2017-01-25             ip-172-31-29-196.us-west-1.compute.internal11        46.0                
2017-01-26             ip-172-31-29-101.us-west-2.compute.internal1         656.0               
2017-01-26             ip-172-31-29-102.us-west-2.compute.internal3         761.0               
2017-01-26             ip-172-31-29-103.us-west-2.compute.internal5         927.0               
2017-01-26             ip-172-31-29-104.us-west-2.compute.internal5         907.0               
2017-01-26             ip-172-31-29-105.us-west-2.compute.internal1         580.0               
2017-01-26             ip-172-31-29-106.us-west-2.compute.internal1         686.0               
2017-01-26             ip-172-31-29-107.us-west-2.compute.internal1         600.0               
2017-01-26             ip-172-31-29-108.us-west-2.compute.internal1         505.0               
2017-01-26             ip-172-31-29-109.us-west-2.compute.internal1         671.0               
2017-01-26             ip-172-31-29-196.us-west-1.compute.internal8         67.0                

# Invocation statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2017-01-25             ip-172-31-29-102.us-west-2.compute.internal3         12435.137           
2017-01-25             ip-172-31-29-196.us-west-1.compute.internal22        93.181              
2017-01-26             ip-172-31-29-101.us-west-2.compute.internal2         659.048             
2017-01-26             ip-172-31-29-102.us-west-2.compute.internal7         779.2               
2017-01-26             ip-172-31-29-103.us-west-2.compute.internal10        961.862             
2017-01-26             ip-172-31-29-104.us-west-2.compute.internal10        933.234             
2017-01-26             ip-172-31-29-105.us-west-2.compute.internal2         580.915             
2017-01-26             ip-172-31-29-106.us-west-2.compute.internal2         686.998             
2017-01-26             ip-172-31-29-107.us-west-2.compute.internal2         603.962             
2017-01-26             ip-172-31-29-108.us-west-2.compute.internal2         507.183             
2017-01-26             ip-172-31-29-109.us-west-2.compute.internal2         674.965             
2017-01-26             ip-172-31-29-196.us-west-1.compute.internal16        106.113             
