1485004085 INTERNAL *** MONITORD_STARTED ***
1485004083 INTERNAL *** DAGMAN_STARTED 10222.0 ***
1485004087 create_dir_example_workflow_0_local SUBMIT 10223.0 local - 1
1485004092 create_dir_example_workflow_0_local EXECUTE 10223.0 local - 1
1485004092 create_dir_example_workflow_0_local JOB_TERMINATED 10223.0 local - 1
1485004092 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1485004092 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 10223.0 local - 1
1485004097 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 10223.0 local - 1
1485004097 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1485004103 stage_in_local_local_0_0 SUBMIT 10224.0 local - 2
1485004103 stage_in_local_local_0_0 EXECUTE 10224.0 local - 2
1485004103 stage_in_local_local_4_0 SUBMIT 10225.0 local - 3
1485004103 stage_in_local_local_1_0 SUBMIT 10226.0 local - 4
1485004103 stage_in_local_local_2_0 SUBMIT 10227.0 local - 5
1485004103 stage_in_remote_local_1_1 SUBMIT 10228.0 local - 6
1485004108 stage_in_local_local_0_0 JOB_TERMINATED 10224.0 local - 2
1485004108 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1485004108 stage_in_local_local_0_0 POST_SCRIPT_STARTED 10224.0 local - 2
1485004108 stage_in_local_local_1_0 EXECUTE 10226.0 local - 4
1485004108 stage_in_local_local_4_0 EXECUTE 10225.0 local - 3
1485004108 stage_in_local_local_2_0 EXECUTE 10227.0 local - 5
1485004108 stage_in_remote_local_1_1 EXECUTE 10228.0 local - 6
1485004108 stage_in_local_local_1_0 JOB_TERMINATED 10226.0 local - 4
1485004108 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1485004108 stage_in_local_local_1_0 POST_SCRIPT_STARTED 10226.0 local - 4
1485004108 stage_in_local_local_4_0 JOB_TERMINATED 10225.0 local - 3
1485004108 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1485004108 stage_in_local_local_4_0 POST_SCRIPT_STARTED 10225.0 local - 3
1485004108 stage_in_local_local_2_0 JOB_TERMINATED 10227.0 local - 5
1485004108 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1485004108 stage_in_local_local_2_0 POST_SCRIPT_STARTED 10227.0 local - 5
1485004108 stage_in_remote_local_1_1 JOB_TERMINATED 10228.0 local - 6
1485004108 stage_in_remote_local_1_1 JOB_SUCCESS 0 local - 6
