1483709702 INTERNAL *** MONITORD_STARTED ***
1483709700 INTERNAL *** DAGMAN_STARTED 9195.0 ***
1483709704 create_dir_example_workflow_0_local SUBMIT 9196.0 local - 1
1483709709 create_dir_example_workflow_0_local EXECUTE 9196.0 local - 1
1483709709 create_dir_example_workflow_0_local JOB_TERMINATED 9196.0 local - 1
1483709709 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1483709709 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 9196.0 local - 1
1483709714 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 9196.0 local - 1
1483709714 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1483709719 stage_in_local_local_0_0 SUBMIT 9197.0 local - 2
1483709719 stage_in_local_local_0_0 EXECUTE 9197.0 local - 2
1483709719 stage_in_remote_local_2_1 SUBMIT 9198.0 local - 3
1483709719 stage_in_local_local_6_0 SUBMIT 9199.0 local - 4
1483709719 stage_in_remote_local_5_1 SUBMIT 9200.0 local - 5
1483709719 stage_in_remote_local_5_0 SUBMIT 9201.0 local - 6
1483709725 stage_in_local_local_0_0 JOB_TERMINATED 9197.0 local - 2
1483709725 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1483709725 stage_in_local_local_0_0 POST_SCRIPT_STARTED 9197.0 local - 2
1483709725 stage_in_remote_local_5_1 EXECUTE 9200.0 local - 5
1483709725 stage_in_local_local_6_0 EXECUTE 9199.0 local - 4
1483709725 stage_in_remote_local_2_1 EXECUTE 9198.0 local - 3
1483709725 stage_in_remote_local_5_0 EXECUTE 9201.0 local - 6
1483709725 stage_in_local_local_6_0 JOB_TERMINATED 9199.0 local - 4
1483709725 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1483709725 stage_in_local_local_6_0 POST_SCRIPT_STARTED 9199.0 local - 4
1483709725 stage_in_remote_local_2_1 JOB_TERMINATED 9198.0 local - 3
1483709725 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1483709725 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 9198.0 local - 3
1483709725 stage_in_local_local_2_0 SUBMIT 9202.0 local - 7
1483709725 stage_in_local_local_2_1 SUBMIT 9203.0 local - 8
1483709725 stage_in_local_local_2_0 EXECUTE 9202.0 local - 7
1483709725 stage_in_remote_local_1_0 SUBMIT 9204.0 local - 9
1483709725 stage_in_local_local_2_1 EXECUTE 9203.0 local - 8
1483709725 stage_in_local_local_3_1 SUBMIT 9205.0 local - 10
1483709725 stage_in_local_local_5_0 SUBMIT 9206.0 local - 11
1483709731 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 9199.0 local - 4
1483709731 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1483709731 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 9197.0 local - 2
1483709731 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1483709731 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 9198.0 local - 3
1483709731 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1483709731 stage_in_remote_local_5_1 JOB_TERMINATED 9200.0 local - 5
1483709731 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1483709731 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 9200.0 local - 5
1483709731 stage_in_local_local_5_0 EXECUTE 9206.0 local - 11
1483709731 stage_in_local_local_3_1 EXECUTE 9205.0 local - 10
1483709731 stage_in_remote_local_1_0 EXECUTE 9204.0 local - 9
1483709731 stage_in_remote_local_5_0 JOB_TERMINATED 9201.0 local - 6
1483709731 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1483709731 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 9201.0 local - 6
1483709731 stage_in_local_local_2_1 JOB_TERMINATED 9203.0 local - 8
1483709731 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1483709731 stage_in_local_local_2_1 POST_SCRIPT_STARTED 9203.0 local - 8
1483709731 stage_in_remote_local_1_0 JOB_TERMINATED 9204.0 local - 9
1483709731 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1483709731 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 9204.0 local - 9
1483709731 stage_in_local_local_2_0 JOB_TERMINATED 9202.0 local - 7
1483709731 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 7
1483709731 stage_in_local_local_2_0 POST_SCRIPT_STARTED 9202.0 local - 7
1483709731 stage_in_local_local_5_0 JOB_TERMINATED 9206.0 local - 11
1483709731 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 11
1483709731 stage_in_local_local_5_0 POST_SCRIPT_STARTED 9206.0 local - 11
1483709731 stage_in_local_local_3_0 SUBMIT 9207.0 local - 12
1483709731 stage_in_local_local_3_0 EXECUTE 9207.0 local - 12
1483709731 stage_in_local_local_3_1 JOB_TERMINATED 9205.0 local - 10
1483709731 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1483709731 stage_in_local_local_3_1 POST_SCRIPT_STARTED 9205.0 local - 10
1483709731 stage_in_local_local_5_1 SUBMIT 9208.0 local - 13
1483709731 stage_in_local_local_4_0 SUBMIT 9209.0 local - 14
1483709731 stage_in_local_local_5_1 EXECUTE 9208.0 local - 13
1483709731 stage_in_local_local_7_0 SUBMIT 9210.0 local - 15
1483709731 stage_in_local_local_4_0 EXECUTE 9209.0 local - 14
1483709731 stage_in_local_local_4_1 SUBMIT 9211.0 local - 16
1483709737 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 9203.0 local - 8
1483709737 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1483709737 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 9200.0 local - 5
1483709737 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1483709737 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 9201.0 local - 6
1483709737 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 6
1483709737 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 9204.0 local - 9
1483709737 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1483709737 stage_in_local_local_3_1 POST_SCRIPT_TERMINATED 9205.0 local - 10
1483709737 stage_in_local_local_3_1 POST_SCRIPT_SUCCESS 0 local - 10
1483709737 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 9202.0 local - 7
1483709737 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 7
1483709737 stage_in_local_local_5_0 POST_SCRIPT_TERMINATED 9206.0 local - 11
1483709737 stage_in_local_local_5_0 POST_SCRIPT_SUCCESS 0 local - 11
1483709737 stage_in_local_local_4_1 EXECUTE 9211.0 local - 16
1483709737 stage_in_local_local_7_0 EXECUTE 9210.0 local - 15
1483709737 stage_in_local_local_3_0 JOB_TERMINATED 9207.0 local - 12
1483709737 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 12
1483709737 stage_in_local_local_3_0 POST_SCRIPT_STARTED 9207.0 local - 12
1483709737 stage_in_local_local_5_1 JOB_TERMINATED 9208.0 local - 13
1483709737 stage_in_local_local_5_1 JOB_SUCCESS 0 local - 13
1483709737 stage_in_local_local_5_1 POST_SCRIPT_STARTED 9208.0 local - 13
1483709737 stage_in_local_local_4_0 JOB_TERMINATED 9209.0 local - 14
1483709737 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 14
1483709737 stage_in_local_local_4_0 POST_SCRIPT_STARTED 9209.0 local - 14
1483709737 stage_in_local_local_1_0 SUBMIT 9212.0 local - 17
1483709737 stage_in_local_local_1_0 EXECUTE 9212.0 local - 17
1483709737 stage_in_remote_local_4_1 SUBMIT 9213.0 local - 18
1483709737 stage_in_remote_local_4_1 EXECUTE 9213.0 local - 18
1483709737 stage_in_remote_local_4_0 SUBMIT 9214.0 local - 19
1483709737 stage_in_remote_local_4_0 EXECUTE 9214.0 local - 19
1483709737 stage_in_local_local_7_0 JOB_TERMINATED 9210.0 local - 15
1483709737 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 15
1483709737 stage_in_local_local_7_0 POST_SCRIPT_STARTED 9210.0 local - 15
1483709737 stage_in_remote_local_2_0 SUBMIT 9215.0 local - 20
1483709737 stage_in_remote_local_3_1 SUBMIT 9216.0 local - 21
1483709737 stage_in_remote_local_2_0 EXECUTE 9215.0 local - 20
1483709742 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 9209.0 local - 14
1483709742 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 14
1483709742 stage_in_local_local_5_1 POST_SCRIPT_TERMINATED 9208.0 local - 13
1483709742 stage_in_local_local_5_1 POST_SCRIPT_SUCCESS 0 local - 13
1483709742 stage_in_local_local_7_0 POST_SCRIPT_TERMINATED 9210.0 local - 15
1483709742 stage_in_local_local_7_0 POST_SCRIPT_SUCCESS 0 local - 15
1483709742 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 9207.0 local - 12
1483709742 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 12
1483709742 stage_in_local_local_4_1 JOB_TERMINATED 9211.0 local - 16
1483709742 stage_in_local_local_4_1 JOB_SUCCESS 0 local - 16
1483709742 stage_in_local_local_4_1 POST_SCRIPT_STARTED 9211.0 local - 16
1483709742 stage_in_remote_local_3_1 EXECUTE 9216.0 local - 21
1483709742 stage_in_local_local_1_0 JOB_TERMINATED 9212.0 local - 17
1483709742 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 17
1483709742 stage_in_local_local_1_0 POST_SCRIPT_STARTED 9212.0 local - 17
1483709742 stage_in_remote_local_4_0 JOB_TERMINATED 9214.0 local - 19
1483709742 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 19
1483709742 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 9214.0 local - 19
1483709742 stage_in_remote_local_4_1 JOB_TERMINATED 9213.0 local - 18
1483709742 stage_in_remote_local_4_1 JOB_SUCCESS 0 local - 18
1483709742 stage_in_remote_local_4_1 POST_SCRIPT_STARTED 9213.0 local - 18
1483709742 stage_in_remote_local_2_0 JOB_TERMINATED 9215.0 local - 20
1483709742 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 20
1483709742 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 9215.0 local - 20
1483709742 stage_in_remote_local_3_0 SUBMIT 9217.0 local - 22
1483709742 stage_in_remote_local_3_0 EXECUTE 9217.0 local - 22
1483709742 stage_in_remote_local_6_0 SUBMIT 9218.0 local - 23
1483709742 stage_in_remote_local_6_0 EXECUTE 9218.0 local - 23
1483709742 init_0_ID0000001 SUBMIT 9219.0 condorpool - 24
1483709747 stage_in_remote_local_3_1 JOB_TERMINATED 9216.0 local - 21
1483709747 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 21
1483709747 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 9216.0 local - 21
1483709747 stage_in_remote_local_4_1 POST_SCRIPT_TERMINATED 9213.0 local - 18
1483709747 stage_in_remote_local_4_1 POST_SCRIPT_SUCCESS 0 local - 18
1483709747 stage_in_local_local_4_1 POST_SCRIPT_TERMINATED 9211.0 local - 16
1483709747 stage_in_local_local_4_1 POST_SCRIPT_SUCCESS 0 local - 16
1483709747 stage_in_remote_local_4_0 POST_SCRIPT_TERMINATED 9214.0 local - 19
1483709747 stage_in_remote_local_4_0 POST_SCRIPT_SUCCESS 0 local - 19
1483709747 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 9212.0 local - 17
1483709747 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 17
1483709747 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 9215.0 local - 20
1483709747 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 20
1483709747 stage_in_remote_local_6_0 JOB_TERMINATED 9218.0 local - 23
1483709747 stage_in_remote_local_6_0 JOB_SUCCESS 0 local - 23
1483709747 stage_in_remote_local_6_0 POST_SCRIPT_STARTED 9218.0 local - 23
1483709747 stage_in_remote_local_3_0 JOB_TERMINATED 9217.0 local - 22
1483709747 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 22
1483709747 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 9217.0 local - 22
1483709752 stage_in_remote_local_3_1 POST_SCRIPT_TERMINATED 9216.0 local - 21
1483709752 stage_in_remote_local_3_1 POST_SCRIPT_SUCCESS 0 local - 21
1483709752 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 9217.0 local - 22
1483709752 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 22
