1481631382 INTERNAL *** MONITORD_STARTED ***
1481631380 INTERNAL *** DAGMAN_STARTED 8785.0 ***
1481631384 create_dir_example_workflow_0_local SUBMIT 8786.0 local - 1
1481631389 create_dir_example_workflow_0_local EXECUTE 8786.0 local - 1
1481631389 create_dir_example_workflow_0_local JOB_TERMINATED 8786.0 local - 1
1481631389 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1481631389 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 8786.0 local - 1
1481631394 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 8786.0 local - 1
1481631394 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1481631400 stage_in_local_local_0_0 SUBMIT 8787.0 local - 2
1481631400 stage_in_local_local_0_0 EXECUTE 8787.0 local - 2
1481631400 stage_in_local_local_6_0 SUBMIT 8788.0 local - 3
1481631400 stage_in_remote_local_2_1 SUBMIT 8789.0 local - 4
1481631400 stage_in_remote_local_5_0 SUBMIT 8790.0 local - 5
1481631400 stage_in_local_local_2_0 SUBMIT 8791.0 local - 6
1481631405 stage_in_local_local_0_0 JOB_TERMINATED 8787.0 local - 2
1481631405 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1481631405 stage_in_local_local_0_0 POST_SCRIPT_STARTED 8787.0 local - 2
1481631405 stage_in_local_local_6_0 EXECUTE 8788.0 local - 3
1481631405 stage_in_remote_local_5_0 EXECUTE 8790.0 local - 5
1481631405 stage_in_remote_local_2_1 EXECUTE 8789.0 local - 4
1481631405 stage_in_local_local_2_0 EXECUTE 8791.0 local - 6
1481631405 stage_in_local_local_6_0 JOB_TERMINATED 8788.0 local - 3
1481631405 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1481631405 stage_in_local_local_6_0 POST_SCRIPT_STARTED 8788.0 local - 3
1481631405 stage_in_remote_local_2_1 JOB_TERMINATED 8789.0 local - 4
1481631405 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1481631405 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 8789.0 local - 4
1481631405 stage_in_remote_local_5_0 JOB_TERMINATED 8790.0 local - 5
1481631405 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1481631405 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 8790.0 local - 5
1481631405 stage_in_local_local_2_1 SUBMIT 8792.0 local - 7
1481631405 stage_in_remote_local_1_0 SUBMIT 8793.0 local - 8
1481631405 stage_in_local_local_3_0 SUBMIT 8794.0 local - 9
1481631405 stage_in_local_local_5_0 SUBMIT 8795.0 local - 10
1481631405 stage_in_local_local_4_0 SUBMIT 8796.0 local - 11
1481631410 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 8787.0 local - 2
1481631410 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1481631410 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 8790.0 local - 5
1481631410 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1481631410 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 8788.0 local - 3
1481631410 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1481631410 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 8789.0 local - 4
1481631410 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1481631410 stage_in_local_local_2_0 JOB_TERMINATED 8791.0 local - 6
1481631410 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1481631410 stage_in_local_local_2_0 POST_SCRIPT_STARTED 8791.0 local - 6
1481631410 stage_in_local_local_3_0 EXECUTE 8794.0 local - 9
1481631410 stage_in_local_local_2_1 EXECUTE 8792.0 local - 7
1481631410 stage_in_local_local_4_0 EXECUTE 8796.0 local - 11
1481631410 stage_in_remote_local_1_0 EXECUTE 8793.0 local - 8
1481631410 stage_in_local_local_5_0 EXECUTE 8795.0 local - 10
1481631410 stage_in_local_local_3_0 JOB_TERMINATED 8794.0 local - 9
1481631410 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 9
1481631410 stage_in_local_local_3_0 POST_SCRIPT_STARTED 8794.0 local - 9
1481631410 stage_in_remote_local_1_0 JOB_TERMINATED 8793.0 local - 8
1481631410 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 8
1481631410 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 8793.0 local - 8
1481631410 stage_in_local_local_4_0 JOB_TERMINATED 8796.0 local - 11
1481631410 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 11
1481631410 stage_in_local_local_4_0 POST_SCRIPT_STARTED 8796.0 local - 11
1481631410 stage_in_local_local_2_1 JOB_TERMINATED 8792.0 local - 7
1481631410 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 7
1481631410 stage_in_local_local_2_1 POST_SCRIPT_STARTED 8792.0 local - 7
1481631410 stage_in_local_local_5_0 JOB_TERMINATED 8795.0 local - 10
1481631410 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 10
1481631410 stage_in_local_local_5_0 POST_SCRIPT_STARTED 8795.0 local - 10
1481631410 stage_in_local_local_7_0 SUBMIT 8797.0 local - 12
1481631410 stage_in_local_local_1_0 SUBMIT 8798.0 local - 13
1481631410 stage_in_remote_local_4_1 SUBMIT 8799.0 local - 14
1481631410 stage_in_remote_local_4_0 SUBMIT 8800.0 local - 15
1481631410 stage_in_remote_local_2_0 SUBMIT 8801.0 local - 16
1481631416 stage_in_local_local_5_0 POST_SCRIPT_TERMINATED 8795.0 local - 10
1481631416 stage_in_local_local_5_0 POST_SCRIPT_SUCCESS 0 local - 10
1481631416 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 8796.0 local - 11
1481631416 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 11
1481631416 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 8794.0 local - 9
1481631416 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 9
1481631416 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 8791.0 local - 6
1481631416 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1481631416 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 8793.0 local - 8
1481631416 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1481631416 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 8792.0 local - 7
1481631416 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 7
1481631416 stage_in_remote_local_4_0 EXECUTE 8800.0 local - 15
1481631416 stage_in_local_local_7_0 EXECUTE 8797.0 local - 12
1481631416 stage_in_remote_local_4_1 EXECUTE 8799.0 local - 14
1481631416 stage_in_local_local_1_0 EXECUTE 8798.0 local - 13
1481631416 stage_in_remote_local_2_0 EXECUTE 8801.0 local - 16
